qpdfview 0.4.17beta1-7
qscintilla-qt5 2.10.8-1
qt5-base 5.11.2-3
qt5-declarative 5.11.2-1
qt5-location 5.11.2-2
qt5-multimedia 5.11.2-1
qt5-script 5.11.2-1
qt5-sensors 5.11.2-1
qt5-speech 5.11.2-1
qt5-styleplugins 5.0.0.20170311-8
qt5-svg 5.11.2-1
qt5-webchannel 5.11.2-1
qt5-webkit 5.212.0alpha2-21
qt5-x11extras 5.11.2-1
qt5-xmlpatterns 5.11.2-1
qterminal 0.9.0-1
qtermwidget 0.9.0-1
qtkeychain 0.9.1-1
ranger 1.9.2-0
raptor 2.0.15-10
rasqal 1:0.9.33-2
readline 7.0.005-1
recode 3.7.1-1
redland 1:1.0.17-4
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rpcbind 1.2.5-2
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.6-1
s-nail 14.9.11-1
samba 4.8.5-1
sane 1.0.27-2
sbc 1.4-1
scrot 0.8.18-1
sddm 0.18.0-1
sddm-qt-manjaro-theme 0307-1
sdl 1.2.15-9
sdl2 2.0.9-1
seabios 1.11.0-1
sed 4.5-1
semver 5.6.0-1
serf 1.3.9-2
shadow 4.6-1
shared-mime-info 1.10-1
silver-searcher-git 2.2.0.2.gbd82cd3.r1999.bd82cd3-1
simple-scan 3.30.2-1
slang 2.3.2-1
smbclient 4.8.5-1
smbnetfs 0.6.1-1
snappy 1.1.7-1
solid 5.51.0-1
sonnet 5.51.0-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.0-1
spandsp 0.0.6-2
